hostNC,hostphylum,hostclass,hostorder,hostfamily,hostgenus
NC_017312.1,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus
NC_017470.1,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
NC_017486.1,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
NC_017540.1,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
NC_017574.1,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia
NC_017582.1,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus
NC_017992.1,Bacillota,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Thermoanaerobacterium
NC_018289.1,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium
NC_018513.1,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia
NC_018650.1,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
NC_018720.1,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium
NC_020059.1,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium
NC_020238.1,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus
NC_020528.1,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Sinorhizobium
NC_021085.1,Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,Cutibacterium
NC_021352.1,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium
NC_021505.1,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
NC_021870.1,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella
NC_022112.1,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lacticaseibacillus
NC_022269.1,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
NC_022808.2,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
NZ_AP019630.1,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter
NZ_AP024864.1,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
NZ_CP004353.1,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium
NZ_CP004379.1,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia
NZ_CP006882.1,Cyanobacteriota,Cyanophyceae,Synechococcales,Synechococcaceae,Synechococcus
NZ_CP007211.2,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella
NZ_CP007221.1,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas
NZ_CP007255.1,Actinomycetota,Actinomycetes,Mycobacteriales,Nocardiaceae,Rhodococcus
NZ_CP007470.1,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus
NZ_CP007656.1,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Pseudobdellovibrionaceae,Bdellovibrio
NZ_CP008781.1,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia
NZ_CP008827.1,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
NZ_CP008920.1,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Morganellaceae,Providencia
NZ_CP008998.1,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas
NZ_CP009124.1,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces
NZ_CP009125.1,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Pectobacteriaceae,Pectobacterium
NZ_CP009367.1,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia
NZ_CP009467.1,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
NZ_CP009712.1,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia
NZ_CP009887.1,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Cellulophaga
NZ_CP009977.1,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
NZ_CP010799.1,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia
NZ_CP011612.1,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter
NZ_CP011618.1,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
NZ_CP012257.1,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Cronobacter
NZ_CP013411.1,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia
NZ_CP013450.1,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia
NZ_CP013484.1,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
NZ_CP013701.1,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium
NZ_CP013911.1,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
NZ_CP013940.1,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Cronobacter
NZ_CP014070.2,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter
NZ_CP014113.2,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
NZ_CP014262.1,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
NZ_CP014268.2,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
NZ_CP014291.1,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter
NZ_CP014475.1,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium
NZ_CP014477.1,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter
NZ_CP014933.1,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus
NZ_CP015039.1,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Rhodovulum
NZ_CP015338.1,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus
NZ_CP015421.1,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Rhodovulum
NZ_CP016406.1,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella
NZ_CP016839.1,Bacillota,Bacilli,Bacillales,Listeriaceae,Brochothrix
NZ_CP017454.1,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Pectobacteriaceae,Dickeya
NZ_CP017703.1,Bacillota,Bacilli,Bacillales,Bacillaceae,Aeribacillus
NZ_CP017705.1,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Brevibacillus
NZ_CP018019.1,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium
NZ_CP018074.1,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces
NZ_CP018156.1,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
NZ_CP018202.1,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
NZ_CP018218.1,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
NZ_CP018725.1,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas
NZ_CP018809.1,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
NZ_CP019035.1,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella
NZ_CP019177.1,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella
NZ_CP019794.1,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus
NZ_CP020114.1,Cyanobacteriota,Cyanophyceae,Nostocales,Aphanizomenonaceae,Nodularia
NZ_CP020405.2,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Pasteurella
NZ_CP020543.1,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
NZ_CP020659.1,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
NZ_CP020822.1,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Tenacibaculum
